subjid,cond,decisions,outcomes
1,3,1,0
1,3,1,0
1,3,2,0
1,3,1,0
1,3,1,0
1,3,1,0
1,3,2,0
1,3,2,0
1,3,1,0
1,3,1,0
1,3,2,0
1,3,1,0
1,3,2,0
1,3,1,0
1,3,1,0
1,3,1,0
1,3,2,0
1,3,1,0
1,3,1,0
1,3,2,0
1,3,2,0
1,3,2,0
1,3,2,0
1,3,2,0
1,3,1,0
1,3,1,0
1,3,1,0
1,3,2,0
1,3,1,0
1,3,2,0
1,3,1,0
1,3,1,0
1,3,1,0
1,3,2,0
1,3,1,0
1,3,2,0
1,3,1,0
1,3,2,0
1,3,2,0
1,3,1,0
1,3,2,0
1,3,2,0
1,3,2,0
1,3,1,0
1,3,1,0
1,3,1,0
1,3,1,0
1,3,1,0
1,3,2,0
1,3,2,0
1,3,1,0
1,3,1,0
1,3,2,0
1,3,2,0
1,3,2,0
1,3,2,0
1,3,1,0
1,3,2,0
1,3,1,0
1,3,1,0
1,3,2,0
1,3,2,0
1,3,2,0
1,3,1,0
1,3,2,0
1,3,1,0
1,3,2,0
1,3,1,0
1,3,2,0
1,3,2,0
1,3,2,0
1,3,1,0
1,3,2,0
1,3,1,0
1,3,1,0
2,3,1,0
2,3,1,0
2,3,2,0
2,3,1,0
2,3,1,0
2,3,2,0
2,3,1,0
2,3,1,0
2,3,2,0
2,3,1,0
2,3,2,0
2,3,1,0
2,3,1,0
2,3,1,0
2,3,1,0
2,3,1,0
2,3,1,0
2,3,2,0
2,3,2,0
2,3,1,0
2,3,2,0
2,3,2,0
2,3,2,0
2,3,1,0
2,3,2,0
2,3,1,0
2,3,2,0
2,3,1,0
2,3,1,0
2,3,1,0
2,3,1,0
2,3,2,0
2,3,1,0
2,3,2,0
2,3,1,0
2,3,2,0
2,3,2,0
2,3,1,0
2,3,2,0
2,3,1,0
2,3,1,0
2,3,1,0
2,3,1,0
2,3,2,0
2,3,1,0
2,3,1,0
2,3,1,0
2,3,1,0
2,3,2,0
2,3,1,0
2,3,1,0
2,3,2,0
2,3,1,0
2,3,1,0
2,3,1,0
3,3,2,0
3,3,2,0
3,3,1,0
3,3,2,0
3,3,1,0
3,3,2,0
3,3,1,0
3,3,2,0
3,3,1,0
3,3,1,0
3,3,1,0
3,3,1,0
3,3,1,0
3,3,1,0
3,3,2,0
3,3,1,0
3,3,2,0
3,3,2,0
3,3,2,0
3,3,2,0
3,3,1,0
3,3,1,0
3,3,1,0
3,3,2,0
3,3,1,0
3,3,1,0
3,3,1,0
3,3,1,0
3,3,2,0
3,3,1,0
3,3,1,0
3,3,2,0
3,3,2,0
3,3,1,0
3,3,2,0
3,3,1,0
3,3,1,0
3,3,2,0
3,3,1,0
3,3,2,0
3,3,2,0
3,3,1,0
3,3,1,0
3,3,2,0
3,3,2,0
3,3,1,0
3,3,1,0
3,3,1,0
3,3,1,0
3,3,1,0
3,3,1,0
3,3,1,0
3,3,1,0
3,3,2,0
3,3,2,0
3,3,1,0
3,3,1,0
3,3,2,0
3,3,1,0
3,3,2,0
3,3,2,0
3,3,2,0
3,3,1,0
3,3,2,0
3,3,1,0
3,3,1,0
3,3,1,0
3,3,1,0
3,3,1,0
3,3,1,0
3,3,1,0
3,3,2,0
3,3,1,0
3,3,2,0
3,3,1,0
3,3,2,0
3,3,1,0
3,3,1,0
3,3,1,0
3,3,1,0
3,3,1,0
3,3,1,0
3,3,2,0
3,3,1,0
3,3,2,0
3,3,2,0
3,3,1,0
3,3,1,0
3,3,2,0
3,3,2,0
3,3,1,0
3,3,1,0
3,3,1,0
3,3,1,0
3,3,2,0
3,3,1,0
3,3,1,0
3,3,1,0
3,3,1,0
3,3,2,0
3,3,2,0
3,3,1,0
