subjid,cond,decisions,outcomes
14,1,2,0
14,1,2,1
14,1,1,1
14,1,1,1
14,1,1,1
14,1,2,0
14,1,1,1
14,1,1,0
14,1,2,0
14,1,1,0
14,1,1,1
14,1,1,1
14,1,2,0
14,1,1,1
14,1,2,0
14,1,2,1
14,1,2,0
14,1,1,1
14,1,2,0
14,1,2,0
14,1,1,1
14,1,1,1
14,1,1,0
14,1,1,0
14,1,1,0
14,1,2,1
14,1,2,1
14,1,2,0
14,1,2,0
14,1,2,1
14,1,2,0
14,1,1,0
14,1,1,1
14,1,1,1
14,1,1,0
14,1,2,1
14,1,1,1
14,1,2,0
14,1,2,1
14,1,2,0
14,1,2,0
14,1,2,0
14,1,2,0
14,1,2,0
14,1,1,1
14,1,1,0
14,1,2,0
14,1,2,0
14,1,2,0
14,1,2,0
14,1,1,0
14,1,2,0
14,1,2,1
14,1,1,0
14,1,1,1
14,1,2,0
14,1,1,1
14,1,2,1
14,1,1,1
14,1,2,0
14,1,2,0
14,1,2,0
14,1,1,1
14,1,1,1
14,1,2,0
14,1,2,0
14,1,2,0
14,1,2,0
14,1,2,1
14,1,1,0
14,1,2,1
14,1,2,0
14,1,2,1
14,1,2,0
14,1,2,0
14,1,1,1
14,1,1,1
14,1,2,0
14,1,2,0
14,1,2,0
14,1,2,0
14,1,2,0
14,1,2,1
14,1,2,1
14,1,2,1
14,1,2,0
14,1,2,1
14,1,1,1
14,1,2,0
14,1,2,1
14,1,2,0
14,1,1,0
14,1,1,0
14,1,2,0
14,1,2,0
14,1,1,1
14,1,2,0
14,1,2,0
14,1,2,0
14,1,2,0
14,1,2,1
